code,pnl,trades,win_rate
AAPL,410869.6907534932,4,50.0
ABBV,125896.03942085523,5,40.0
ABNB,-195602.30203326364,1,0.0
ABT,194894.8867522204,6,50.0
ACN,-324703.5659906695,3,66.66666666666666
ADBE,-579845.0750435609,2,50.0
ADI,247360.97631736612,2,50.0
ADSK,-271994.1342104413,1,0.0
AEP,-236742.77085588253,1,0.0
AMGN,-663748.4433699206,4,50.0
AMZN,1969720.5395186893,4,100.0
ANET,-1316968.57509557,1,0.0
AON,-157311.06649855958,1,0.0
APH,2063435.7170143863,3,100.0
AVGO,-586949.4802587022,1,0.0
AXP,-702898.949097571,5,20.0
BAC,-920511.7286730714,5,20.0
BKNG,-414409.69424044393,3,33.33333333333333
BLK,-399314.9813855546,3,66.66666666666666
BMY,-664378.8525332432,2,0.0
BSX,-469665.589918559,2,0.0
BX,347054.81416418013,1,100.0
C,165340.6408605076,2,50.0
CAT,767814.7411024331,3,66.66666666666666
CB,56398.295979055285,2,50.0
CDNS,-140117.83005234657,1,0.0
CEG,-1506162.0813168003,2,0.0
CI,212509.7855074199,2,100.0
CMCSA,267644.50428490725,2,100.0
CME,123851.63571869471,3,66.66666666666666
CMG,892498.123295357,3,33.33333333333333
CMI,-526729.2544433739,1,0.0
COF,-571293.1796928264,1,0.0
COP,105164.1883625423,1,100.0
COST,-487037.35463456175,4,50.0
CRM,1680141.069101572,2,100.0
CRWD,620233.0240690926,4,75.0
CSCO,167485.2760060362,6,50.0
CSX,-246477.5148408815,1,0.0
CVS,-1405524.2556278217,1,0.0
CVX,324183.28841563896,3,100.0
DASH,235468.63315649747,2,100.0
DE,-221515.90276283093,3,33.33333333333333
DELL,-741690.1299324909,2,0.0
DHR,-949257.1745670852,6,16.666666666666664
DIS,-493329.4926306669,2,0.0
DUK,-454610.18431564677,1,0.0
EA,205691.29681436103,1,100.0
EBAY,-488224.0722674489,1,0.0
ELV,964241.2004574636,3,66.66666666666666
ETN,471318.96386825177,4,75.0
F,-246246.9033635723,1,0.0
FCX,174423.19203893084,1,100.0
FSLR,-230158.7955075979,1,0.0
FTNT,-329728.1930795489,1,0.0
GE,-587802.0558650388,8,50.0
GEV,2647067.806604822,2,50.0
GILD,1249865.8128227724,5,60.0
GLW,330433.1494660951,1,100.0
GM,616781.2168997839,1,100.0
GOOG,252366.6091377684,4,50.0
GOOGL,105735.73520114028,5,60.0
GS,1240056.317047208,5,80.0
HCA,-257479.89348545118,3,33.33333333333333
HD,414637.5608896063,4,50.0
HLT,744982.2272512161,2,100.0
HON,317998.3647805265,7,57.14285714285714
IBM,1279147.8026565365,4,75.0
ICE,459516.3884857155,1,100.0
INTC,-545599.0440811086,1,0.0
INTU,-801959.096704739,1,0.0
ISRG,-1262907.3001280278,5,20.0
JCI,-34524.68796510194,1,0.0
JNJ,-367936.480759616,2,0.0
JPM,1024114.4951979906,7,85.71428571428571
KLAC,-408097.0891761593,1,0.0
KO,-187022.4699566711,9,44.44444444444444
KR,-1074801.903168205,2,0.0
LIN,1033635.9802054318,9,55.55555555555556
LLY,-445590.9637423846,2,0.0
LMT,-150420.49569669444,4,25.0
LOW,-543259.1800745078,1,0.0
MA,473221.17845566437,5,40.0
MCD,-627062.560561951,7,28.57142857142857
MCHP,-52144.93044625722,1,0.0
MCK,-609217.4531304794,3,0.0
MDLZ,-303258.7414069681,1,0.0
MDT,509563.61830483924,3,33.33333333333333
META,1367082.1066779727,6,50.0
MMM,-338498.76129244006,3,33.33333333333333
MO,-344598.0679167505,2,50.0
MS,2012847.52960308,7,85.71428571428571
NEE,-252423.0504469671,2,0.0
NFLX,-211313.36407837592,2,0.0
NKE,-86815.4462570026,1,0.0
NOC,206883.0792750915,1,100.0
NOW,1520193.354621934,4,75.0
NSC,-602406.1552179533,2,0.0
NXPI,-359897.7425318194,1,0.0
ON,1381255.2391707671,1,100.0
ORCL,-329655.477144449,1,0.0
PANW,-1004509.6972200494,4,25.0
PEP,-298223.4118101169,2,0.0
PFE,300638.60664100613,6,50.0
PG,-623660.7410858984,5,40.0
PGR,-273089.52234568994,1,0.0
PH,334744.2213124508,2,50.0
PM,-201199.46831635296,1,0.0
PSX,-574937.3052146457,1,0.0
PYPL,-180322.30918868975,2,50.0
QCOM,-1509103.4915281152,2,0.0
REGN,24085.48516660824,2,50.0
RTX,276956.9871119794,4,50.0
SBUX,-946303.0324912054,4,25.0
SCHW,1242081.3360079895,3,66.66666666666666
SHW,-884853.5913301402,2,0.0
SLB,-2397482.831846179,3,0.0
SNOW,-520078.8078005353,1,0.0
SPGI,1149814.9749726471,3,100.0
T,84329.57159297634,5,40.0
TJX,-952466.7665668259,5,0.0
TMO,549627.7858857599,2,100.0
TMUS,-188766.9888748979,2,0.0
TT,386684.41200674186,2,50.0
TTWO,-435982.7456647324,1,0.0
TXN,-8213.533850558018,1,0.0
UAL,-577861.4178073916,1,0.0
UBER,624418.6557122995,1,100.0
UNH,-1674437.4166119178,5,20.0
UNP,530553.9626139487,2,100.0
UPS,1098728.6950618848,3,100.0
USB,705714.8545516429,2,100.0
V,-186638.737903781,1,0.0
VRTX,-1675812.2802767407,4,25.0
VZ,340463.73549120466,5,40.0
WBD,2297925.6463890434,2,100.0
WELL,1173139.2909227216,1,100.0
WFC,-113261.29060980178,1,0.0
WMT,146518.06661575803,5,40.0
XOM,-1383193.830627332,5,0.0
ZTS,-361153.38409276865,1,0.0
