month,pnl,trades
2024-07,-5407579.4765040465,39
2024-08,1516565.2124150777,14
2024-09,-387748.0076292831,23
2024-10,-2591305.711912644,38
2024-11,2990835.475024695,24
2024-12,-3423927.5770272724,31
2025-01,515801.25263935456,18
2025-02,-2294144.3082220615,30
2025-03,-364068.8461512864,6
2025-04,-4974189.731856628,12
2025-05,-3804548.127469349,46
2025-06,-1807481.8362154895,33
2025-07,1560815.8600925726,25
2025-08,-593299.7974984777,30
2025-09,1835335.644030823,22
2025-10,-3096728.8167780843,33
2025-11,-1456702.6368191012,20
2025-12,626596.4954960472,36
2026-01,1104635.2122263527,24
2026-02,5255668.533363093,19
2026-03,-2513506.6816499988,7
