code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
PG,2024-06-27,2024-07-01,159.08053945838952,156.96166850611257,78576,stop_sma20_break,-178909.070212623,-1.3319485585672086,1,PG:2024-06-27,0.1
GEV,2024-06-27,2024-07-02,177.9078245049124,164.63330851347476,70074,stop_loss_pct,-942200.0472615673,-7.46145709351368,2,GEV:2024-06-27,0.1
NKE,2024-06-28,2024-07-02,74.22602105705982,73.77999359735935,166943,stop_sma20_break,-86815.4462570026,-0.6009044447601419,1,NKE:2024-06-28,0.1
ABBV,2024-06-27,2024-07-03,160.2308300874083,155.05615130514525,77883,stop_sma20_break,-415297.2555848907,-3.229515056147547,3,ABBV:2024-06-27,0.1
NFLX,2024-06-27,2024-07-03,68.00293255615233,67.68025309753418,183182,po_break,-71536.4272457975,-0.47450815205903885,3,NFLX:2024-06-27,0.1
WMT,2024-06-27,2024-07-05,67.10241817440938,66.8408763225006,186138,po_break,-61148.84570612829,-0.3897651664787838,4,WMT:2024-06-27,0.1
JPM,2024-07-02,2024-07-05,197.00609034394046,199.33909212035655,62512,replaced,145840.60704732305,1.1842282501739243,1,JPM:2024-07-02,0.1
VZ,2024-07-02,2024-07-08,36.575761591265255,36.21331943446416,337284,replaced,-122245.94041450035,-0.9909353654788955,2,VZ:2024-07-02,0.1
ELV,2024-06-28,2024-07-09,525.9158016730034,509.88385855133026,23491,po_break,-388772.3607803896,-3.0483858957410237,5,ELV:2024-06-28,0.1
ISRG,2024-07-03,2024-07-09,439.43899999999996,447.1723751220703,28105,replaced,217346.50780578735,1.7598290370382186,2,ISRG:2024-07-03,0.1
KO,2024-07-05,2024-07-11,60.282483552562454,59.50654802713128,206299,po_break,-172430.90167385514,-1.2871658228125415,3,KO:2024-07-05,0.1
META,2024-07-03,2024-07-15,503.96311886034476,495.2684211095542,24488,stop_sma20_break,-225150.34949675086,-1.7252646920775994,6,META:2024-07-03,0.1
GS,2024-07-01,2024-07-17,438.7490165298309,484.5873555007422,13999,rsi_half,635228.0143177594,10.447508084110947,10,GS:2024-07-01,0.1
MS,2024-07-01,2024-07-17,92.36549881568335,99.3365012269994,66656,rsi_half,458270.0924712601,7.547192946174386,10,MS:2024-07-01,0.1
ORCL,2024-07-12,2024-07-18,140.26653163358557,136.7002299800092,88981,po_break,-329655.477144449,-2.5425178850878916,3,ORCL:2024-07-12,0.1
MS,2024-07-01,2024-07-22,92.36549881568335,96.85994045709586,66657,trail_sma10,293279.39643883065,4.865931217868735,13,MS:2024-07-01,0.1
TMUS,2024-07-08,2024-07-23,174.42191388182854,172.6928045198522,71052,stop_sma20_break,-135188.27587308214,-0.9913372256354358,10,TMUS:2024-07-08,0.1
VZ,2024-07-10,2024-07-23,36.5046011583321,34.524529108397644,343424,stop_sma20_break,-692200.8176930514,-5.4241711650163005,8,VZ:2024-07-10,0.1
GS,2024-07-01,2024-07-25,438.7490165298309,468.25778393009455,13999,trail_sma10,406744.64073647157,6.725660067264738,16,GS:2024-07-01,0.1
AXP,2024-07-23,2024-07-25,242.62716775053622,235.31819584158913,51110,replaced,-373561.55426628556,-3.0124293073651165,1,AXP:2024-07-23,0.1
HON,2024-07-23,2024-07-26,196.2117115847355,183.23009033652772,63193,stop_loss_pct,-832336.6244323989,-6.616129660844205,2,HON:2024-07-23,0.1
KO,2024-07-17,2024-07-29,61.36762389994997,63.53445439388205,103196,rsi_half,217163.54221600998,3.530901729981828,7,KO:2024-07-17,0.1
