code,pnl,trades,win_rate
1605.T,6622857.6428598985,9,55.55555555555556
1662.T,27504.986878739008,1,100.0
1801.T,-980472.813589417,7,14.285714285714285
1802.T,1191881.7804401375,5,40.0
1812.T,974371.8474253371,8,75.0
1878.T,-485295.8649634409,2,50.0
1911.T,620641.126287928,1,100.0
1925.T,-1307178.2925503328,22,45.45454545454545
1928.T,243805.70297051343,7,71.42857142857143
1942.T,-353854.1416184962,2,0.0
2267.T,-469421.9562177998,1,0.0
2269.T,-422190.6130900049,4,25.0
2413.T,213921.61910546065,1,100.0
2502.T,-1368041.6923094923,7,28.57142857142857
2503.T,-1270797.2927127958,16,25.0
2587.T,-300818.297064684,1,0.0
2768.T,-627168.4598076359,2,50.0
2801.T,-766439.1942390648,1,0.0
2802.T,2948800.993305979,13,69.23076923076923
2897.T,-1336068.6502592145,4,50.0
2914.T,2232718.919431217,18,55.55555555555556
3038.T,3109411.1071552387,5,80.0
3064.T,-2793930.3854737333,4,0.0
3092.T,-438227.33691417327,3,33.33333333333333
3132.T,-709952.7268754119,1,0.0
3382.T,-220564.70556445868,7,28.57142857142857
3391.T,-333040.13938053703,1,0.0
3402.T,-433635.1016860873,5,20.0
3436.T,77482.39318944889,1,100.0
3563.T,-3304747.889878585,7,14.285714285714285
3697.T,228931.36080322374,1,100.0
3769.T,98117.77249052259,1,100.0
4021.T,494063.3213696033,2,50.0
4042.T,721378.3230720272,2,100.0
4062.T,430786.4698452041,2,50.0
4063.T,3072024.4580240324,4,75.0
4183.T,231123.20304544747,1,100.0
4188.T,-91856.65013244425,3,33.33333333333333
4204.T,-456310.8799402734,2,0.0
4307.T,2366072.9813904995,6,66.66666666666666
4452.T,-793431.0189423237,14,42.857142857142854
4502.T,1051791.0908415169,16,31.25
4503.T,-34544.94380305905,6,50.0
4507.T,-256325.28418756468,12,41.66666666666667
4519.T,178892.3618034657,7,57.14285714285714
4523.T,-428787.992197871,2,0.0
4543.T,2627122.817648848,8,62.5
4568.T,-1969908.9244908213,4,0.0
4578.T,1263417.364140247,9,33.33333333333333
4661.T,-580606.1859348259,3,0.0
4684.T,1998447.3793800604,3,66.66666666666666
4689.T,364762.09702740447,6,33.33333333333333
4704.T,-1557196.7167339902,5,40.0
4732.T,1040206.7763346487,1,100.0
4751.T,1735022.0605269852,3,33.33333333333333
4901.T,-2122031.300846909,13,38.46153846153847
4911.T,-1062436.2432324952,2,0.0
5019.T,-7254.061049389886,3,33.33333333333333
5020.T,-263210.4085171851,7,42.857142857142854
5108.T,1103729.0247522988,12,41.66666666666667
5110.T,213543.75600000098,1,100.0
5201.T,2410998.048808093,4,75.0
5332.T,504850.36006248975,1,100.0
5334.T,76668.93532479208,1,100.0
5401.T,1340074.6995575894,9,55.55555555555556
5406.T,-285764.81305222516,1,0.0
5411.T,-302784.748746889,8,37.5
5713.T,-720353.0825909993,1,0.0
5802.T,1231430.3383304207,5,60.0
5803.T,-428654.63589924003,1,0.0
6098.T,-975469.7495027614,4,25.0
6146.T,403775.8148721774,3,66.66666666666666
6201.T,1441527.5588341798,15,53.333333333333336
6254.T,-464319.29148024577,1,0.0
6301.T,-1004422.4321952321,9,44.44444444444444
6305.T,-207239.42493201297,2,50.0
6315.T,-1346712.4789560353,1,0.0
6323.T,3375005.886966002,2,100.0
6326.T,-295703.5941032815,6,33.33333333333333
6361.T,3565779.2103676987,5,80.0
6367.T,-326931.9686366853,3,33.33333333333333
6479.T,169157.82000089707,1,100.0
6501.T,1214799.4513938627,10,50.0
6503.T,1278776.728715471,7,42.857142857142854
6504.T,-227979.64200553042,2,50.0
6532.T,1454578.596729048,8,37.5
6645.T,-1231433.1726215861,2,0.0
6701.T,-252994.53394032305,9,55.55555555555556
6702.T,843078.2106753055,2,100.0
6723.T,3497211.900981656,2,50.0
6752.T,238473.6104108768,5,40.0
6758.T,-566252.7258878921,4,25.0
6762.T,675573.108211815,5,40.0
6806.T,169991.78899848228,3,33.33333333333333
6857.T,691376.7376428552,1,100.0
6861.T,-767043.838188695,4,25.0
6902.T,-596277.0082321048,6,33.33333333333333
6920.T,471318.4255596421,3,33.33333333333333
6954.T,1679472.3360935994,4,50.0
6965.T,76647.28623750307,1,100.0
6971.T,-1149440.948481457,11,45.45454545454545
6981.T,256834.72106576554,4,50.0
6988.T,1994620.8329312198,8,62.5
7202.T,348662.1862118754,2,100.0
7203.T,-385598.1949644624,10,40.0
7259.T,-366347.1677667158,1,0.0
7261.T,-1217179.7455210104,5,20.0
7267.T,2097601.563327641,2,100.0
7269.T,1481478.1503935847,3,100.0
7270.T,-501639.07126499165,10,40.0
7272.T,216687.13547013703,6,50.0
7309.T,-937880.2765524478,5,20.0
7453.T,3658544.0336593585,14,57.14285714285714
7532.T,2608789.8273003525,15,53.333333333333336
7550.T,-428094.61201114475,1,0.0
7729.T,19277.00550328397,1,100.0
7733.T,506935.90176130494,7,42.857142857142854
7735.T,-1136976.6282943455,2,0.0
7741.T,-354624.77803634084,11,36.36363636363637
7751.T,-2035026.3778359452,17,41.17647058823529
7832.T,-1099835.9647264325,3,33.33333333333333
7936.T,3517788.3304674802,4,100.0
7951.T,12043.215208085465,2,50.0
7974.T,3516126.978539129,9,55.55555555555556
8001.T,917390.8344456506,13,38.46153846153847
8002.T,3096743.865868165,8,62.5
8015.T,2355510.0017168443,6,83.33333333333334
8031.T,1888361.473268815,13,53.84615384615385
8035.T,-1264860.2944743386,4,50.0
8053.T,2993713.2825749777,7,71.42857142857143
8058.T,4234278.550342962,8,75.0
8113.T,820757.3368866846,8,37.5
8136.T,535359.5203168399,1,100.0
8306.T,-949332.8318442977,13,30.76923076923077
8308.T,1358048.2356138588,7,42.857142857142854
8309.T,-1531396.860839889,12,25.0
8316.T,4492845.047857514,11,63.63636363636363
8411.T,5071389.542747604,11,72.72727272727273
8473.T,-1187980.2852658555,3,33.33333333333333
8591.T,-480155.6122594272,3,0.0
8593.T,-454545.7848622802,1,0.0
8601.T,-1275468.8047995204,6,33.33333333333333
8604.T,502247.78997422894,8,62.5
8630.T,-1917545.795555035,15,53.333333333333336
8697.T,-328056.40000874625,1,0.0
8725.T,44388.341576899984,10,60.0
8750.T,1758898.2325479412,5,80.0
8766.T,1588169.0631596658,3,100.0
8801.T,76633.82794533813,4,50.0
8802.T,908718.2031926404,8,62.5
8830.T,2043480.1535205243,7,57.14285714285714
9022.T,-832295.9445047283,13,23.076923076923077
9041.T,378133.2263198884,2,100.0
9101.T,927424.8498756189,9,33.33333333333333
9104.T,924017.6108143276,6,66.66666666666666
9107.T,-1001392.9009831233,4,0.0
9143.T,-1394099.1432071184,2,0.0
9432.T,-1634584.2904925891,12,25.0
9433.T,-1118716.5625669514,11,36.36363636363637
9434.T,-1682664.1196387631,20,25.0
9502.T,1412916.2954659478,2,100.0
9503.T,196280.46921064216,4,25.0
9531.T,253170.8049429543,10,30.0
9532.T,420222.0883053517,3,66.66666666666666
9602.T,-47901.84637733386,3,33.33333333333333
9684.T,2013351.2331469054,2,100.0
9697.T,-1521876.4163237861,6,50.0
9735.T,-1281615.7380532203,18,33.33333333333333
9766.T,1239149.1198844772,4,75.0
9843.T,1854486.2051301328,5,40.0
9983.T,21934.5454864482,6,50.0
9984.T,-523510.8266176784,2,50.0
