month,pnl,trades
2023-08,266487.2454065199,19
2023-09,5005980.879973318,23
2023-10,-5873737.483362686,26
2023-11,3058511.053390644,26
2023-12,-2820871.9693728914,32
2024-01,6786146.691855304,27
2024-02,2180846.331212053,25
2024-03,1620583.2930995254,34
2024-04,-1797610.553662704,51
2024-05,5299948.73930685,33
2024-06,-776449.0121905778,38
2024-07,-5339169.56652125,33
2024-08,1827713.8863480997,13
2024-09,3259022.5909935012,35
2024-10,-7727116.901114055,40
2024-11,-4895453.959733386,35
2024-12,4460477.33123098,37
2025-01,5560621.645425674,26
2025-02,-816965.3727430152,28
2025-03,1642259.1110037582,31
2025-04,-2586997.3011354865,23
2025-05,-389128.94683349587,34
2025-06,4439293.137468345,27
2025-07,2327615.8495912217,28
2025-08,5624739.611211028,22
2025-09,2972572.9189815456,31
2025-10,3662814.81806307,39
2025-11,2908419.860051964,25
2025-12,1849281.4831475068,31
2026-01,10938268.35339423,27
2026-02,21712237.89976386,20
2026-03,45771.10560919531,38
2026-04,-3156033.072865425,24
