code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
7261.T,2023-08-14,2023-08-16,1248.136133518381,1222.5183394917833,10016,po_break,-268960.86257123767,-2.05248396698392,1,7261.T:2023-08-14,0.1
7203.T,2023-08-14,2023-08-16,2242.076977245597,2201.366598967122,5554,po_break,-238444.88376979154,-1.8157440039586747,1,7203.T:2023-08-14,0.1
8031.T,2023-08-14,2023-08-16,2631.662354044996,2532.636932487616,4718,replaced,-467201.9389077189,-3.762846757494287,1,8031.T:2023-08-14,0.1
4578.T,2023-08-15,2023-08-17,5324.9904758972625,5280.9105846520715,2333,replaced,-102838.38627503059,-0.8277928654466415,1,4578.T:2023-08-15,0.1
6301.T,2023-08-14,2023-08-18,3630.9884335173842,3448.420274651017,3423,po_break,-637047.2158036059,-5.028056745680987,3,6301.T:2023-08-14,0.1
8001.T,2023-08-16,2023-08-18,1047.5825574376306,1003.610472923469,11811,stop_sma20_break,-531467.6106375597,-4.197481544721072,1,8001.T:2023-08-16,0.1
1928.T,2023-08-14,2023-08-21,2640.264887651417,2585.2300953416698,4734,po_break,-272903.453419089,-2.0844420787909046,4,1928.T:2023-08-14,0.1
4519.T,2023-08-17,2023-08-23,4007.0643899566567,3992.4536622464416,3060,po_break,-56948.08941312891,-0.3646242308168457,3,4519.T:2023-08-17,0.1
8801.T,2023-08-18,2023-08-23,939.3940228236895,951.8923885396018,12963,po_break,149757.94190012015,1.3304710709510337,2,8801.T:2023-08-18,0.1
9022.T,2023-08-15,2023-08-24,3565.5786011587616,3556.5057959672754,3477,po_break,-43927.88737520102,-0.2544553410921191,6,9022.T:2023-08-15,0.1
6501.T,2023-08-17,2023-08-24,1769.0944814267466,1805.9483422104688,6930,po_break,243009.731847292,2.0832047790912966,4,6501.T:2023-08-17,0.1
4519.T,2023-08-22,2023-08-24,4006.119403412471,4013.21297200739,3067,po_break,9458.328682909929,0.17706832674224682,1,4519.T:2023-08-22,0.1
1605.T,2023-08-23,2023-08-25,1799.680845419654,1810.9999024508618,6862,po_break,65283.12370220471,0.6289480193121921,1,1605.T:2023-08-23,0.1
6701.T,2023-08-14,2023-08-25,1393.3894084187286,1444.4479294624355,8959,replaced,457433.29003056954,3.664339683882778,8,6701.T:2023-08-14,0.1
4507.T,2023-08-22,2023-08-28,1958.9415115808204,1984.438384939488,6270,replaced,159865.39595884646,1.301563788808191,3,4507.T:2023-08-22,0.1
9434.T,2023-08-15,2023-08-29,141.71025353279148,145.21143552062688,87568,replaced,306591.50431076984,2.470662426008019,9,9434.T:2023-08-15,0.1
2802.T,2023-08-23,2023-08-29,2780.248329642231,2914.702779251935,4435,replaced,596305.484019038,4.836059001499549,3,2802.T:2023-08-23,0.1
6501.T,2023-08-23,2023-08-30,1787.0164537235516,1831.1430611288802,6895,replaced,304252.9580597401,2.469289374106398,4,6501.T:2023-08-23,0.1
8802.T,2023-08-24,2023-08-30,1678.7462674798285,1758.8041706278,7423,replaced,594269.8150673924,4.768910269456983,3,8802.T:2023-08-24,0.1
5401.T,2023-08-28,2023-09-05,546.6218490957644,584.9694655412483,11508,rsi_half,434793.19363020646,7.015383031051425,5,5401.T:2023-08-28,0.1
4689.T,2023-08-29,2023-09-12,394.6157968817248,414.32923154760107,31944,trail_sma10,616805.4869726782,4.995602006217914,9,4689.T:2023-08-29,0.1
5401.T,2023-08-28,2023-09-14,546.6218490957644,578.3422337950511,11508,po_break,358565.1437864374,5.80298514443931,12,5401.T:2023-08-28,0.1
7936.T,2023-09-11,2023-09-14,1278.4807934372445,1355.4430814549646,10217,po_break,772868.2965621593,6.019823560337101,2,7936.T:2023-09-11,0.1
8725.T,2023-08-24,2023-09-15,1518.77895100225,1696.4917132958553,8196,max_holding_days,1443357.6205760948,11.701028788707646,15,8725.T:2023-08-24,0.1
7267.T,2023-08-28,2023-09-15,1337.1489768648432,1543.4919512919241,4693,rsi_half,961608.1550483707,15.431562077015881,13,7267.T:2023-08-28,0.1
9735.T,2023-09-13,2023-09-15,4894.241703082963,4903.40437505851,2722,po_break,11606.196805087848,0.1872133117123198,1,9735.T:2023-09-13,0.1
2914.T,2023-08-25,2023-09-19,2786.184023239617,2958.6688739143533,4449,max_holding_days,754605.6753821824,6.190719968101055,15,2914.T:2023-08-25,0.1
7267.T,2023-08-28,2023-09-20,1337.1489768648432,1580.6175338055791,4694,max_holding_days,1135993.4082792706,18.208035241636743,15,7267.T:2023-08-28,0.1
9022.T,2023-08-29,2023-09-21,3573.389156604146,3771.8447365751326,3534,max_holding_days,688362.9913282185,5.553707454566248,15,9022.T:2023-08-29,0.1
1925.T,2023-09-20,2023-09-22,3850.776993451341,3702.5934171943763,3503,replaced,-519087.06762814644,-3.848147439048444,1,1925.T:2023-09-20,0.1
3382.T,2023-09-13,2023-09-25,1916.2098032381455,1865.8690251381486,6932,po_break,-362070.9590083307,-2.6271015843321255,6,3382.T:2023-09-13,0.1
7453.T,2023-09-14,2023-09-26,964.1181940264634,955.648044983468,13962,po_break,-131662.10905282915,-0.8785384505214378,6,7453.T:2023-09-14,0.1
4507.T,2023-09-14,2023-09-26,2058.207290772185,2081.3381322028126,6538,replaced,151229.4412734439,1.1238343938597906,6,4507.T:2023-09-14,0.1
6981.T,2023-09-21,2023-09-27,2612.0244072201704,2524.029967887497,5124,po_break,-464042.0784496434,-3.3688214815083106,3,6981.T:2023-09-21,0.1
4901.T,2023-09-25,2023-09-27,2801.837565199624,2737.7156256197313,4788,po_break,-320277.53704734717,-2.2885673450996125,1,4901.T:2023-09-25,0.1
8801.T,2023-09-25,2023-09-27,1059.9495650726349,1040.9566382857302,12659,po_break,-253729.1460095836,-1.7918708033625386,1,8801.T:2023-09-25,0.1
8015.T,2023-09-26,2023-09-28,2764.6917506396994,2772.999398174175,4819,po_break,26691.486645570712,0.3004909148570878,1,8015.T:2023-09-26,0.1
6701.T,2023-09-26,2023-09-28,1587.2607159575612,1588.9312981686508,8387,po_break,691.8117931701654,0.10524938935956296,1,6701.T:2023-09-26,0.1
8591.T,2023-09-26,2023-09-28,2632.988745669863,2606.7532219356676,5051,po_break,-145748.59872060842,-0.9964160985245996,1,8591.T:2023-09-26,0.1
6902.T,2023-09-22,2023-09-29,2307.9044949057666,2313.936072349615,5753,po_break,21404.940642750997,0.261344325866264,4,6902.T:2023-09-22,0.1
9107.T,2023-09-27,2023-09-29,1565.2577241662366,1566.2739602017139,8488,po_break,-4664.4089993264515,0.06492451816639822,1,9107.T:2023-09-27,0.1
9101.T,2023-09-27,2023-09-29,3593.577610483815,3550.746450781916,3692,po_break,-171321.06383650837,-1.1918807479472493,1,9101.T:2023-09-27,0.1
8630.T,2023-09-15,2023-10-02,1998.9386528247217,1968.963589997301,6725,stop_sma20_break,-214924.36880589355,-1.499548912372206,9,8630.T:2023-09-15,0.1
9735.T,2023-09-19,2023-10-02,4944.061981662065,4882.206366040995,2738,po_break,-182812.83693849455,-1.2511092265933832,8,9735.T:2023-09-19,0.1
5411.T,2023-09-28,2023-10-02,2032.804629154023,1964.9823935385011,6505,po_break,-454186.44497027656,-3.336387306622124,1,5411.T:2023-09-28,0.1
9433.T,2023-09-28,2023-10-02,2134.7724311821075,2104.6040099339457,6185,po_break,-199701.95706403244,-1.4131914394011735,1,9433.T:2023-09-28,0.1
8306.T,2023-09-28,2023-10-02,1208.996761154263,1175.1452067465455,10912,po_break,-382396.0402738797,-2.79997064470201,1,8306.T:2023-09-28,0.1
2503.T,2023-09-27,2023-10-03,1970.1007725577517,1937.2838575725482,6725,po_break,-233832.33409430692,-1.665748038999948,3,2503.T:2023-09-27,0.1
9735.T,2023-09-29,2023-10-03,4918.31935546875,4796.175890626455,2642,po_break,-335535.8823334342,-2.4834390777508486,1,9735.T:2023-09-29,0.1
