month,pnl,trades
2023-09,-635208.6134585569,1
2023-12,-560759.1280964438,2
2024-01,-310453.1875547921,3
2024-02,2503392.903345015,4
2024-03,3460498.0924853384,2
2024-04,-2009501.7731191933,4
2024-07,-1662535.5140548546,2
2024-08,-799448.4981913746,1
2024-12,637515.5724450484,1
2025-01,230275.43609109672,1
2025-06,4384340.908367289,3
2025-07,-2185196.664256023,4
2025-10,323917.837567489,1
2025-11,803084.8862540331,2
2025-12,-2176441.5237946277,3
2026-01,1476781.8407461257,2
2026-02,-425622.1045628978,2
2026-03,-695576.9594929188,3
2026-04,544611.428004002,1
