code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
8035.T,2023-08-30,2023-09-12,20474.88679567205,19453.525405939155,610,stop_sma20_break,-635208.6134585569,-4.9883615959663725,8,8035.T:2023-08-30,0.1
4063.T,2023-12-01,2023-12-05,4962.714394031605,4865.172024496185,2503,po_break,-256448.15079994206,-1.965504395190032,1,4063.T:2023-12-01,0.1
6857.T,2023-12-27,2023-12-29,4806.009571886823,4692.7174391563085,2578,po_break,-304310.9772965018,-2.3573014376256585,1,6857.T:2023-12-27,0.1
8035.T,2023-12-27,2024-01-05,24412.50155211268,22792.026964785447,508,stop_sma20_break,-835191.0406055267,-6.637888312543683,3,8035.T:2023-12-27,0.1
6857.T,2024-01-12,2024-01-23,5201.810381850999,5925.148319895674,1177,rsi_half,844820.5378826045,13.905503756315007,6,6857.T:2024-01-12,0.1
4063.T,2024-01-24,2024-01-30,5601.18597986067,5464.269804846094,2247,stop_sma20_break,-320082.68483186996,-2.444414013511864,3,4063.T:2024-01-24,0.1
8035.T,2024-01-18,2024-02-01,24940.621992230776,26096.869864527744,492,trail_sma10,556318.7301733458,4.636002553012308,9,8035.T:2024-01-18,0.1
6857.T,2024-01-12,2024-02-02,5201.810381850999,5925.148463596831,1178,po_break,845538.4815366212,13.905506518837019,14,6857.T:2024-01-12,0.1
4063.T,2024-01-31,2024-02-02,5542.96968624335,5624.283290693804,2250,po_break,170392.45041446624,1.4669682327915101,1,4063.T:2024-01-31,0.1
8035.T,2024-02-08,2024-02-14,27310.029430319184,31405.514893400614,229,rsi_half,931143.2412205816,14.996268947753988,2,8035.T:2024-02-08,0.1
4063.T,2024-02-06,2024-03-01,5562.056488193972,6124.32638648069,2251,max_holding_days,1252516.5171179574,10.109028908285866,15,4063.T:2024-02-06,0.1
8035.T,2024-02-08,2024-03-05,27310.029430319184,36942.07537562381,230,max_holding_days,2207981.575367381,35.269262414676405,15,8035.T:2024-02-08,0.1
4063.T,2024-03-21,2024-04-02,6532.649344279089,6140.7786280823,2001,po_break,-796813.0677961216,-5.998649178069937,7,4063.T:2024-03-21,0.1
8035.T,2024-03-29,2024-04-08,37534.253878774,36283.878228907706,346,po_break,-445400.5117083658,-3.3312921415853514,5,8035.T:2024-03-29,0.1
8035.T,2024-04-05,2024-04-09,36864.00081782851,36216.99011631588,350,po_break,-239242.91894289723,-1.7551288171622437,1,8035.T:2024-04-05,0.1
8035.T,2024-04-16,2024-04-18,36682.07080729408,35213.61615883467,351,po_break,-528045.2746718086,-4.003194520216169,1,8035.T:2024-04-16,0.1
8035.T,2024-07-17,2024-07-19,34182.98027306898,28858.918953546075,379,po_break,-2029765.6800026232,-15.575181792201597,1,8035.T:2024-07-17,0.1
