month,pnl,trades
2021-09,1230891.7855684925,2
2021-11,1557791.5075241895,5
2021-12,-429171.56814874563,2
2022-01,215942.16645616433,4
2022-03,1741694.5315404325,3
2022-04,726575.8425277128,1
2022-05,-388239.28909879964,1
2022-06,-97562.47865233559,3
2022-08,-1012957.1540482519,3
2022-09,-892788.7716289759,4
2022-11,-1352174.5041676539,2
2022-12,-2715911.526902847,5
2023-02,-311633.76883387344,4
2023-03,667829.5954825135,4
2023-04,-1406490.3679506145,7
2023-05,2162925.7097065207,4
2023-06,1845568.3956506052,7
2023-07,-939845.5371138847,3
2023-08,1482087.4281153218,2
2023-09,-653952.443557106,1
2023-12,-718863.4236794045,3
2024-01,-1169083.3677031545,6
2024-02,2264970.5196992336,5
2024-03,3971228.7364422814,4
2024-04,-1674090.5495110906,8
2024-05,-1096967.729963946,3
2024-06,1789887.2195255319,4
2024-07,-2714735.074954926,4
2024-08,-637291.0292934478,2
2024-10,-452241.4455449755,1
2024-11,108305.9101625249,1
2024-12,585885.269657769,4
2025-01,-603416.1240362901,2
2025-05,-501376.56847745524,2
2025-06,6276886.179526997,7
2025-07,971794.244222697,9
2025-08,3902052.6399977505,2
2025-09,-232832.06741564008,4
2025-10,1101148.5155688538,6
2025-11,5664815.872370606,7
2025-12,-2500811.9912292957,3
2026-01,2267882.010076032,4
2026-02,6002956.102544762,5
2026-03,-847812.5172128036,3
2026-04,1007718.2797920046,2
2026-05,5465413.783785006,4
