code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
6861.T,2021-08-26,2021-09-08,63629.4274213708,70337.99526284047,98,rsi_half,650875.2447525017,10.543184361920744,8,6861.T:2021-08-26,0.1
6861.T,2021-08-26,2021-09-17,63629.4274213708,69614.58555863622,98,max_holding_days,580016.5408159907,9.406273763285867,15,6861.T:2021-08-26,0.1
4063.T,2021-11-02,2021-11-11,3649.9633826695485,3570.4134210877937,3503,po_break,-291310.00539266807,-2.179472867028398,5,4063.T:2021-11-02,0.1
6861.T,2021-11-09,2021-11-16,70884.04923697481,69643.76744332106,180,po_break,-235898.22635890104,-1.7497332714547897,4,6861.T:2021-11-09,0.1
8035.T,2021-10-27,2021-11-19,15201.616538468134,18345.57998991052,832,max_holding_days,2601821.9578442588,20.681770543852984,15,8035.T:2021-10-27,0.1
4063.T,2021-11-18,2021-11-25,3656.2987998202498,3593.896937574829,3533,po_break,-233273.25008318058,-1.7066948206883037,3,4063.T:2021-11-18,0.1
6861.T,2021-11-19,2021-11-30,71663.41802947898,70159.05721996304,180,po_break,-283548.9684853196,-2.0992032628099344,5,6861.T:2021-11-19,0.1
8035.T,2021-12-13,2021-12-21,18686.935604762806,18139.91801467575,688,po_break,-389016.5396249816,-2.927272837327255,5,8035.T:2021-12-13,0.1
6861.T,2021-12-17,2021-12-22,71604.96708081874,71452.16587900947,179,po_break,-40155.02852376403,-0.2133946959808064,2,6861.T:2021-12-17,0.1
6861.T,2021-12-23,2022-01-05,71906.9687052999,71218.83569815889,179,po_break,-135985.56777235202,-0.9569767986761235,6,6861.T:2021-12-23,0.1
6861.T,2022-01-04,2022-01-06,71117.84623556455,70100.72378745305,182,po_break,-197967.17542838602,-1.4301929852353235,1,6861.T:2022-01-04,0.1
6857.T,2021-12-17,2022-01-07,2478.864930208333,2649.41801855879,5162,trail_sma10,867158.9437742914,6.880289695176045,12,6857.T:2021-12-17,0.1
4063.T,2021-12-29,2022-01-12,3621.9075907945744,3536.0912579796295,3549,stop_sma20_break,-317264.0341173891,-2.3693683691172973,6,4063.T:2021-12-29,0.1
7011.T,2022-02-28,2022-03-10,311.0436418298576,317.279318685749,41284,trail_sma10,244463.84076765616,2.0047594669375446,7,7011.T:2022-02-28,0.1
7011.T,2022-03-11,2022-03-15,325.43528376586073,339.7038316790789,39557,po_break,551265.4958083441,4.384450188715228,1,7011.T:2022-03-11,0.1
7011.T,2022-03-17,2022-03-29,331.5632737637164,380.38306141793214,19519,rsi_half,945965.194964432,14.724124026175001,6,7011.T:2022-03-17,0.1
7011.T,2022-03-17,2022-04-06,331.5632737637164,369.13574635408844,19520,trail_sma10,726575.8425277128,11.331916277659726,12,7011.T:2022-03-17,0.1
4063.T,2022-05-23,2022-05-25,3343.7268625163256,3249.1807535474422,3968,stop_sma20_break,-388239.28909879964,-2.827566749807209,1,4063.T:2022-05-23,0.1
7011.T,2022-05-13,2022-06-01,425.214776956259,464.5662502577756,30936,trail_sma10,1203614.0451267706,9.254493360555195,12,7011.T:2022-05-13,0.1
8035.T,2022-05-30,2022-06-10,18138.4150816689,17118.621302187003,731,stop_sma20_break,-758355.6995995662,-5.622287145212179,8,8035.T:2022-05-30,0.1
4063.T,2022-06-06,2022-06-13,3355.6487662254767,3221.7228857775804,3956,po_break,-542820.82417954,-3.9910577589602703,4,4063.T:2022-06-06,0.1
6857.T,2022-08-16,2022-08-18,2043.295330704386,2027.1036796875,6426,po_break,-117125.74145489857,-0.7924283275929644,1,6857.T:2022-08-16,0.1
6861.T,2022-08-09,2022-08-24,54582.574119141675,52953.87274238745,240,stop_sma20_break,-403792.70404439705,-2.9839218890613806,9,6861.T:2022-08-09,0.1
4063.T,2022-08-16,2022-08-24,3238.2607416309475,3120.128617634802,4056,po_break,-492038.7085489563,-3.648011492016179,5,4063.T:2022-08-16,0.1
7011.T,2022-09-06,2022-09-08,491.56634446797256,493.58993192019045,26403,po_break,40423.23891817077,0.41166110637782527,1,7011.T:2022-09-06,0.1
7011.T,2022-09-07,2022-09-09,497.9662735085498,495.8441877602425,26077,po_break,-68295.42775786296,-0.42615049677071637,1,7011.T:2022-09-07,0.1
7011.T,2022-09-12,2022-09-14,501.7308902874422,475.555835409344,25867,po_break,-689709.8823985653,-5.216951035863559,1,7011.T:2022-09-12,0.1
7011.T,2022-09-15,2022-09-20,487.5194126521865,481.37928924183893,26448,po_break,-175206.70039071838,-1.25946234160077,1,7011.T:2022-09-15,0.1
7011.T,2022-11-11,2022-11-15,518.4329940012876,477.5387889964263,24832,stop_loss_pct,-1027850.8843384156,-7.888040591174206,1,7011.T:2022-11-11,0.1
6861.T,2022-11-24,2022-11-28,59321.56331795561,57864.62547857239,214,po_break,-324323.6198292382,-2.4560004118135415,1,6861.T:2022-11-24,0.1
4063.T,2022-12-01,2022-12-06,3324.936849609375,3192.8119223747726,3817,po_break,-516759.9707858083,-3.973757494074648,2,4063.T:2022-12-01,0.1
7011.T,2022-12-02,2022-12-06,503.27739769539625,502.36702544277,25147,stop_sma20_break,-35537.60119111994,-0.1808887617037902,1,7011.T:2022-12-02,0.1
8035.T,2022-12-01,2022-12-09,14630.466751422322,13739.978392191395,868,stop_sma20_break,-785256.669004773,-6.086534178031999,5,8035.T:2022-12-01,0.1
6857.T,2022-12-14,2022-12-21,2424.967235715312,2214.7785577161485,5177,po_break,-1100156.7679879677,-8.667691460052351,4,6857.T:2022-12-14,0.1
7011.T,2022-12-12,2022-12-22,515.5734924186394,504.6500797129586,24332,stop_sma20_break,-278200.517933178,-2.118691683398477,7,7011.T:2022-12-12,0.1
6861.T,2023-02-07,2023-02-15,59487.98049412943,59486.36294509392,208,po_break,-12709.781917065102,-0.0027191190927533526,5,6861.T:2023-02-07,0.1
8035.T,2023-01-31,2023-02-16,14166.497184588545,14508.626079729494,873,po_break,286161.83415317425,2.415056387496728,11,8035.T:2023-01-31,0.1
8035.T,2023-02-17,2023-02-21,14383.015771505183,14045.583911485168,865,po_break,-304173.9282802063,-2.346043871331327,1,8035.T:2023-02-17,0.1
4063.T,2023-02-15,2023-02-22,3617.3820565492206,3539.5131591904983,3449,po_break,-280911.8927897763,-2.1526312714948537,4,4063.T:2023-02-15,0.1
6857.T,2023-02-07,2023-03-02,2378.427180515003,2715.9148044634258,5215,max_holding_days,1746714.462165194,14.189529396285593,15,6857.T:2023-02-07,0.1
8035.T,2023-03-08,2023-03-16,14744.912000521657,14261.669228315484,852,po_break,-424079.645523144,-3.277352704370673,5,8035.T:2023-03-08,0.1
6861.T,2023-03-10,2023-03-16,59008.322001742454,56809.51886733577,213,po_break,-480679.6676811805,-3.7262593814170075,3,6861.T:2023-03-10,0.1
4063.T,2023-03-08,2023-03-20,3766.398839907407,3717.976391969614,3338,po_break,-174125.5534783561,-1.2856431301094928,7,4063.T:2023-03-08,0.1
6857.T,2023-03-16,2023-04-04,2733.599462036132,2862.3138115756005,4553,trail_sma10,573297.3368858228,4.708603119331722,11,6857.T:2023-03-16,0.1
8035.T,2023-03-31,2023-04-04,15350.26032247567,14970.775192858273,826,po_break,-325977.30473180243,-2.4721739022351197,1,8035.T:2023-03-31,0.1
8035.T,2023-04-03,2023-04-05,15151.887680871061,14716.234696222225,826,po_break,-372184.8998616777,-2.875239005360619,1,8035.T:2023-04-03,0.1
